Date,S_120,SU_30,JS_45,JS_30,JU_30,V_360,DJIA
8/6/1982,249.1772049,231.4150608,163.9177376,245.8766064,117.2916672,77.2047568,784.34
8/13/1982,249.8574852,233.1183384,166.3866616,249.5799924,122.6983308,88.5023586,788.05
8/20/1982,250.5374289,234.8203836,168.8585448,253.2878172,128.1082008,99.8234051,869.29
8/27/1982,251.2171278,236.521596,171.3329496,256.9994244,133.5210204,111.1657138,883.47
9/3/1982,251.8965816,238.2219516,173.8099248,260.7148872,138.9368388,122.5255996,925.13
9/10/1982,252.5757021,239.9211168,176.2899424,264.4349136,144.3560304,133.8978165,906.82
9/17/1982,253.2546552,241.6197228,178.7722264,268.1583396,149.7780624,145.275701,916.94
9/24/1982,253.9332243,243.316938,181.257824,271.886736,155.203674,156.651527,919.52
10/1/1982,254.6116467,245.0136792,183.7457432,275.6186148,160.632294,168.0170434,907.74
10/8/1982,255.2897007,246.7090992,186.2368544,279.3552816,166.0643808,179.3641326,986.85
10/15/1982,255.9675603,248.403858,188.7306912,283.0960368,171.4998948,190.6855033,993.1
10/22/1982,256.6451265,250.0975872,191.227368,286.841052,176.9386392,201.9753227,1031.46
10/29/1982,257.3224104,251.7902928,193.727244,290.590866,182.3811588,213.2297065,991.72
11/5/1982,257.999493,253.4823444,196.2297,294.34455,187.8268944,224.4470064,1051.78
11/12/1982,258.6762156,255.1730724,198.7355912,298.1033868,193.2764592,235.6278696,1039.92
11/19/1982,259.3527936,256.863372,201.2441128,301.8661692,198.7295412,246.7750784,1021.25
11/26/1982,260.0289891,258.552258,203.7559872,305.6339808,204.1862388,257.8932042,1007.36
12/3/1982,260.7050292,260.240664,206.2708056,309.4062084,209.6468724,268.9881315,1031.36
12/10/1982,261.3807324,261.9278412,208.7887408,313.1831112,215.1109524,280.0665137,1018.76
12/17/1982,262.0562085,263.6142576,211.309964,316.964946,220.5792036,291.135226,1011.5
12/24/1982,262.7314368,265.2998148,213.8341528,320.7512292,226.051044,302.2008728,1045.07
12/31/1982,263.4063468,266.9842356,216.3618072,324.5427108,231.5269464,313.2693964,1046.54
1/7/1983,264.0810927,268.6681248,218.8924712,328.3387068,237.0068316,324.3458178,1076.07
1/14/1983,264.7554633,270.3506484,221.4265968,332.1398952,242.4905436,335.4341247,1080.85
1/21/1983,265.4296995,272.0327712,223.963904,335.945856,247.9786272,346.5373007,1052.98
1/28/1983,266.10357,273.7135644,226.504612,339.756918,253.4704824,357.6574734,1064.75
2/4/1983,266.777265,275.3937984,229.048664,343.572996,258.9667944,8.7961406,1077.91
2/11/1983,267.4506657,277.0729716,231.5961096,347.3941644,264.467136,19.9544251,1086.5
2/18/1983,268.1238045,278.7512364,234.1469928,351.2204892,269.9717256,31.1333032,1092.82
2/25/1983,268.7967435,280.4288292,236.7013048,355.0519572,275.4807864,42.333756,1120.94
3/4/1983,269.4693381,282.105198,239.2591464,358.8887196,280.9939176,53.5568078,1140.96
3/11/1983,270.1417968,283.7811372,241.8204176,2.7306264,286.5117636,64.803433,1117.74
3/18/1983,270.8138802,285.4557192,244.385364,6.578046,292.0337652,76.0743401,1117.74
3/25/1983,271.485825,287.1298596,246.9536968,10.4305452,297.5604048,87.3696619,1140.09
4/1/1983,272.1574344,288.802812,249.5258528,14.2887792,303.0915912,98.6886043,1130.03
4/8/1983,272.8288389,290.4750636,252.1014096,18.1521144,308.627178,110.0291184,1124.71
4/15/1983,273.4999965,292.1464788,254.6808152,22.0212228,314.1677016,121.3876675,1171.34
4/22/1983,274.170858,293.8168128,257.2638096,25.8957144,319.7125272,132.7591514,1196.3
4/29/1983,274.8415602,295.486656,259.8504888,29.7757332,325.2623892,144.1370292,1226.2
5/6/1983,275.5119015,297.1551756,262.4410912,33.6616368,330.8168124,155.5136546,1232.59
5/13/1983,276.1821207,298.823358,265.0351496,37.5527244,336.3760824,166.8807974,1218.75
